epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.28771,2.83282,4.21823,2.10936,0.0016,0.03732,0.0002,7e-05,2.64119,4.39657,2.11157,6.25e-05,6.25e-05,6.25e-05
2,2.55917,2.36992,3.92481,1.83215,0.01065,0.36712,0.14304,0.06648,1.83822,3.95369,1.53067,0.000136593,0.000136593,0.000136593
3,2.82255,1.66073,2.90693,1.46323,0.01715,0.46042,0.23639,0.10784,1.51064,3.65979,1.3135,0.000209695,0.000209695,0.000209695
4,3.19611,1.45806,2.37139,1.35629,0.02757,0.55663,0.28659,0.12267,1.45689,3.42548,1.30942,0.000281807,0.000281807,0.000281807
5,3.45328,1.37805,1.98555,1.27132,0.03732,0.69369,0.35198,0.20167,1.32957,3.24307,1.19345,0.00035293,0.00035293,0.00035293
6,3.7029,1.28248,1.83501,1.17136,0.04931,0.81049,0.45613,0.28225,1.26411,2.95658,1.14177,0.000423062,0.000423062,0.000423062
7,3.95383,1.23248,1.73329,1.15381,0.65891,0.4494,0.56273,0.35006,1.184,2.65994,1.11678,0.000492205,0.000492205,0.000492205
8,4.20101,1.22941,1.62126,1.14416,0.42039,0.72751,0.57467,0.37169,1.17195,2.6461,1.10864,0.000560357,0.000560357,0.000560357
9,4.45057,1.22108,1.58437,1.13875,0.74564,0.33053,0.59147,0.42175,1.08201,2.49007,1.08042,0.00062752,0.00062752,0.00062752
10,4.68927,1.18056,1.57287,1.09706,0.73693,0.30105,0.58788,0.3955,1.07971,2.47675,1.08344,0.000693692,0.000693692,0.000693692
11,4.92675,1.09784,1.52743,1.11269,0.66834,0.35389,0.52537,0.36328,1.09993,2.42806,1.08809,0.000758875,0.000758875,0.000758875
12,5.16561,1.07239,1.37253,1.07598,0.69417,0.52027,0.61345,0.40829,1.13074,2.21368,1.09606,0.000823068,0.000823068,0.000823068
13,5.40306,1.03135,1.3662,1.05886,0.75076,0.57676,0.65366,0.45184,1.05017,2.10897,1.08,0.00088627,0.00088627,0.00088627
14,5.64078,1.08546,1.34475,1.0718,0.72787,0.54003,0.61857,0.39329,1.164,2.21489,1.14408,0.000948483,0.000948483,0.000948483
15,5.87077,1.13559,1.36094,1.04836,0.69475,0.4897,0.60259,0.39084,1.09132,2.34366,1.12463,0.0010097,0.0010097,0.0010097
16,6.11152,1.05711,1.30699,1.04624,0.59157,0.63345,0.63846,0.42146,1.20294,2.07532,1.12314,0.00106994,0.00106994,0.00106994
17,6.34286,1.08584,1.3419,1.04391,0.60594,0.63646,0.64228,0.42541,1.15654,1.94794,1.10624,0.001118,0.001118,0.001118
