epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12.9103,0.98658,1.10108,1.00997,0.74843,0.70506,0.77408,0.56561,0.9621,1.16086,1.04228,0.0007294,0.0007294,0.0007294
43,13.1521,0.96657,1.0654,1.01768,0.73933,0.67471,0.78233,0.57128,0.9474,1.1447,1.0312,0.0007228,0.0007228,0.0007228
44,13.4059,0.94133,1.03486,1.01531,0.79337,0.67117,0.78534,0.58157,0.90293,1.14463,1.00112,0.0007162,0.0007162,0.0007162
45,13.742,0.92087,1.04631,1.01214,0.85343,0.67117,0.78235,0.57257,0.89399,1.15992,0.99912,0.0007096,0.0007096,0.0007096
46,13.9915,0.95723,1.07102,0.99247,0.78516,0.67324,0.74649,0.55221,0.91325,1.14806,1.00087,0.000703,0.000703,0.000703
47,14.2309,1.00865,1.05487,0.99069,0.82548,0.66088,0.75509,0.55578,0.94549,1.13914,1.01019,0.0006964,0.0006964,0.0006964
48,14.4817,0.95404,1.00154,0.99227,0.74157,0.67533,0.77313,0.57311,0.90322,1.14168,1.0089,0.0006898,0.0006898,0.0006898
49,14.7245,0.98912,1.04331,0.99296,0.71829,0.71525,0.7805,0.57794,0.89886,1.11913,1.00444,0.0006832,0.0006832,0.0006832
50,14.9766,1.00176,1.02274,1.0035,0.69352,0.74582,0.76237,0.56404,0.88786,1.12114,0.99953,0.0006766,0.0006766,0.0006766
51,15.2138,0.92938,0.9774,0.99432,0.73533,0.73833,0.73383,0.52931,0.9651,1.14221,1.01804,0.00067,0.00067,0.00067
52,15.4655,0.99354,1.03475,1.01322,0.72538,0.70335,0.73322,0.53035,0.96292,1.15852,1.02577,0.0006634,0.0006634,0.0006634
53,15.7097,0.93421,0.99101,0.99779,0.71407,0.68739,0.7476,0.55698,0.90357,1.14539,1.01868,0.0006568,0.0006568,0.0006568
54,15.9604,0.92126,1.04971,0.9882,0.84024,0.67439,0.77357,0.59,0.87959,1.12455,1.00974,0.0006502,0.0006502,0.0006502
55,16.2032,0.93698,1.02396,0.99159,0.83171,0.69507,0.79751,0.58708,0.87516,1.12608,0.99797,0.0006436,0.0006436,0.0006436
56,16.4558,0.93385,0.97911,0.96933,0.75999,0.72096,0.79205,0.58431,0.87224,1.12127,0.97992,0.000637,0.000637,0.000637
57,16.6985,0.88977,0.97528,0.99386,0.73832,0.72465,0.76178,0.56947,0.8664,1.124,0.98022,0.0006304,0.0006304,0.0006304
58,16.9487,0.9277,0.99746,1.00037,0.82531,0.72706,0.78747,0.59578,0.839,1.11148,0.97989,0.0006238,0.0006238,0.0006238
59,17.1912,0.95393,1.00017,0.99378,0.7951,0.70495,0.76743,0.57535,0.84023,1.14241,0.97768,0.0006172,0.0006172,0.0006172
60,17.4421,0.89697,0.94834,0.98624,0.8043,0.71171,0.77183,0.5628,0.94707,1.15029,0.981,0.0006106,0.0006106,0.0006106
61,17.6805,0.90144,0.95361,0.97002,0.76963,0.72481,0.77283,0.55892,0.9728,1.13342,0.98456,0.000604,0.000604,0.000604
62,17.9275,0.98285,0.97162,0.99326,0.72921,0.71844,0.76577,0.57558,0.8699,1.09688,0.97784,0.0005974,0.0005974,0.0005974
63,18.1661,0.85934,0.95416,0.98253,0.72638,0.73391,0.78129,0.58129,0.84135,1.09107,0.9746,0.0005908,0.0005908,0.0005908
64,18.4173,0.93257,0.91331,0.98558,0.76562,0.70965,0.78038,0.56898,0.86934,1.09233,0.97821,0.0005842,0.0005842,0.0005842
65,18.6575,0.88645,0.92667,0.98551,0.70023,0.79826,0.78329,0.57704,0.85867,1.08801,0.97049,0.0005776,0.0005776,0.0005776
66,18.9946,0.8773,0.92534,0.97278,0.77434,0.73429,0.7722,0.59371,0.84304,1.08158,0.95573,0.000571,0.000571,0.000571
67,19.2357,0.90951,0.94346,0.98489,0.79641,0.71686,0.76502,0.59373,0.83234,1.08398,0.95885,0.0005644,0.0005644,0.0005644
68,19.4853,0.87319,0.90531,1.00448,0.79441,0.74067,0.77179,0.60099,0.82832,1.08576,0.95783,0.0005578,0.0005578,0.0005578
69,19.724,0.88345,0.90821,0.96907,0.73317,0.76609,0.76651,0.58169,0.82506,1.08561,0.95517,0.0005512,0.0005512,0.0005512
70,19.972,0.88336,0.92273,0.98133,0.72294,0.73953,0.76262,0.589,0.80664,1.09659,0.95518,0.0005446,0.0005446,0.0005446
71,20.2113,0.93707,0.92265,0.99169,0.67638,0.76966,0.74978,0.57927,0.82121,1.09776,0.95477,0.000538,0.000538,0.000538
72,20.4609,0.87929,0.91325,0.9676,0.69327,0.76339,0.78022,0.59705,0.82127,1.04265,0.95377,0.0005314,0.0005314,0.0005314
73,20.7064,0.8886,0.91175,0.9544,0.73387,0.71984,0.79226,0.60714,0.80101,1.02651,0.94698,0.0005248,0.0005248,0.0005248
74,20.9594,0.85255,0.89571,0.96206,0.78344,0.75886,0.80281,0.61878,0.78312,1.02392,0.94595,0.0005182,0.0005182,0.0005182
75,21.2009,0.8876,0.8904,0.96661,0.72762,0.77799,0.78818,0.6207,0.79089,1.04299,0.94706,0.0005116,0.0005116,0.0005116
76,21.4559,0.85522,0.87754,0.97144,0.82237,0.69144,0.77771,0.60416,0.81458,1.10299,0.95614,0.000505,0.000505,0.000505
77,21.6952,0.88872,0.90906,0.97639,0.82456,0.69742,0.77048,0.60707,0.81416,1.13128,0.959,0.0004984,0.0004984,0.0004984
78,21.9453,0.92556,0.92281,0.9678,0.77453,0.71171,0.7767,0.588,0.82634,1.1456,0.97025,0.0004918,0.0004918,0.0004918
79,22.1845,0.83789,0.85067,0.9546,0.70436,0.78359,0.78222,0.59274,0.82841,1.11641,0.97099,0.0004852,0.0004852,0.0004852
80,22.4314,0.82579,0.861,0.95558,0.73145,0.77445,0.7968,0.6068,0.80799,1.06322,0.95947,0.0004786,0.0004786,0.0004786
81,22.6743,0.79296,0.81561,0.94278,0.74717,0.77581,0.8071,0.61301,0.8034,1.0461,0.96108,0.000472,0.000472,0.000472
82,22.9187,0.80916,0.828,0.9407,0.74556,0.80071,0.80955,0.61681,0.79818,1.05318,0.95512,0.0004654,0.0004654,0.0004654
83,23.1567,0.88303,0.87409,0.97439,0.73023,0.7899,0.80432,0.61129,0.79272,1.06327,0.95313,0.0004588,0.0004588,0.0004588
84,23.401,0.79706,0.81681,0.93727,0.78381,0.75649,0.79359,0.60895,0.77788,1.05039,0.95061,0.0004522,0.0004522,0.0004522
85,23.6418,0.84477,0.84816,0.96452,0.76694,0.76405,0.77448,0.60086,0.788,1.03214,0.95425,0.0004456,0.0004456,0.0004456
86,23.8917,0.84502,0.86099,0.97753,0.81817,0.75899,0.78675,0.60519,0.81722,1.02658,0.96987,0.000439,0.000439,0.000439
87,24.1292,0.80594,0.83501,0.95578,0.81991,0.75418,0.80909,0.60922,0.81907,1.0226,0.97341,0.0004324,0.0004324,0.0004324
88,24.3795,0.8263,0.82516,0.95201,0.78911,0.786,0.80272,0.60465,0.81635,1.03618,0.97746,0.0004258,0.0004258,0.0004258
89,24.712,0.80988,0.82147,0.96803,0.73325,0.8158,0.80319,0.61374,0.81519,1.04485,0.9776,0.0004192,0.0004192,0.0004192
90,24.9621,0.85747,0.85284,0.95675,0.72104,0.77981,0.82189,0.63367,0.78375,1.02253,0.96185,0.0004126,0.0004126,0.0004126
91,25.2025,0.80373,0.78957,0.94061,0.78688,0.72523,0.82384,0.6288,0.77561,1.00717,0.96064,0.000406,0.000406,0.000406
92,25.451,0.78188,0.81128,0.95336,0.79613,0.74385,0.81818,0.62379,0.7748,0.99944,0.95552,0.0003994,0.0003994,0.0003994
93,25.6917,0.80598,0.79244,0.93562,0.77353,0.75257,0.80141,0.61231,0.78884,1.01736,0.9529,0.0003928,0.0003928,0.0003928
94,25.9393,0.82098,0.7811,0.93383,0.8001,0.73906,0.79786,0.59921,0.79601,1.03174,0.95372,0.0003862,0.0003862,0.0003862
95,26.1802,0.82123,0.80594,0.95909,0.79426,0.73391,0.79227,0.59643,0.80008,1.02541,0.95547,0.0003796,0.0003796,0.0003796
96,26.4302,0.84714,0.84254,0.95315,0.81571,0.70274,0.78957,0.60819,0.77003,1.04362,0.95082,0.000373,0.000373,0.000373
97,26.6694,0.83945,0.84101,0.94892,0.81636,0.69995,0.78502,0.60673,0.76299,1.06086,0.94881,0.0003664,0.0003664,0.0003664
98,26.9204,0.83007,0.81756,0.9572,0.79779,0.70495,0.76947,0.59317,0.78506,1.07195,0.95058,0.0003598,0.0003598,0.0003598
99,27.1593,0.81549,0.80467,0.94831,0.77349,0.71595,0.76633,0.5883,0.79677,1.08138,0.95397,0.0003532,0.0003532,0.0003532
100,27.4056,0.81088,0.80758,0.95992,0.77862,0.69144,0.75893,0.58787,0.78521,1.07116,0.95454,0.0003466,0.0003466,0.0003466
101,27.6457,0.79085,0.78915,0.94079,0.68382,0.75055,0.75889,0.57316,0.78795,1.08522,0.95587,0.00034,0.00034,0.00034
102,27.8937,0.79417,0.81811,0.9639,0.7667,0.70335,0.7508,0.57731,0.79007,1.06121,0.95528,0.0003334,0.0003334,0.0003334
