epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12.0109,0.34237,0.4491,0.80633,0.79224,0.74427,0.7945,0.61249,0.76345,1.13293,0.9867,0.00091175,0.00091175,0.00091175
43,12.2328,0.31813,0.43797,0.80751,0.75966,0.76963,0.79359,0.61258,0.74981,1.11061,0.98365,0.0009035,0.0009035,0.0009035
44,12.4628,0.32228,0.42314,0.80465,0.76046,0.76334,0.77355,0.60964,0.77709,1.12332,0.97787,0.00089525,0.00089525,0.00089525
45,12.6847,0.34122,0.4551,0.80498,0.795,0.72775,0.77871,0.61967,0.76137,1.11939,0.97928,0.000887,0.000887,0.000887
46,12.915,0.32544,0.43055,0.80407,0.8067,0.72481,0.79626,0.61066,0.76985,1.13594,0.98599,0.00087875,0.00087875,0.00087875
47,13.1377,0.30254,0.41469,0.80503,0.81078,0.75878,0.79129,0.59483,0.77459,1.14749,0.97807,0.0008705,0.0008705,0.0008705
48,13.3699,0.32307,0.41162,0.80488,0.77066,0.76548,0.7924,0.59954,0.74729,1.13812,0.97834,0.00086225,0.00086225,0.00086225
49,13.5937,0.29354,0.40034,0.80071,0.78838,0.74582,0.79902,0.61986,0.74191,1.11742,0.97554,0.000854,0.000854,0.000854
50,13.8229,0.30443,0.4028,0.80056,0.80501,0.75257,0.80564,0.61874,0.75307,1.09398,0.99153,0.00084575,0.00084575,0.00084575
51,14.0446,0.28544,0.38821,0.79699,0.81555,0.7572,0.79556,0.61451,0.74324,1.09736,0.99577,0.0008375,0.0008375,0.0008375
52,14.2746,0.29496,0.40142,0.79923,0.77594,0.76835,0.79691,0.61152,0.78609,1.1525,1.00031,0.00082925,0.00082925,0.00082925
53,14.4959,0.28767,0.38577,0.79769,0.80856,0.76471,0.80144,0.61699,0.78577,1.11546,0.99645,0.000821,0.000821,0.000821
54,14.7285,0.30157,0.37578,0.79626,0.81686,0.7899,0.81783,0.63632,0.75858,1.056,0.98205,0.00081275,0.00081275,0.00081275
55,14.9518,0.3088,0.38884,0.79942,0.80975,0.77974,0.81804,0.64562,0.76837,1.03374,0.99211,0.0008045,0.0008045,0.0008045
56,15.184,0.28101,0.38322,0.79266,0.77016,0.78814,0.79264,0.59096,0.8121,1.13041,1.01093,0.00079625,0.00079625,0.00079625
57,15.406,0.3097,0.40509,0.79723,0.77501,0.7899,0.78691,0.58424,0.81782,1.15459,1.01877,0.000788,0.000788,0.000788
58,15.6404,0.28993,0.37493,0.79159,0.78684,0.77284,0.79557,0.61255,0.78155,1.07218,1.01457,0.00077975,0.00077975,0.00077975
59,15.8645,0.2878,0.36913,0.79772,0.80043,0.76532,0.79962,0.60734,0.79354,1.08317,1.01259,0.0007715,0.0007715,0.0007715
60,16.0932,0.29424,0.36158,0.79523,0.74791,0.78038,0.78726,0.61688,0.76241,1.10697,0.99853,0.00076325,0.00076325,0.00076325
61,16.3177,0.25936,0.34771,0.79072,0.76858,0.73906,0.7749,0.60198,0.76566,1.143,0.99601,0.000755,0.000755,0.000755
62,16.5484,0.25371,0.35302,0.78802,0.83393,0.72259,0.78404,0.60309,0.75382,1.10257,0.99898,0.00074675,0.00074675,0.00074675
63,16.8615,0.2437,0.33976,0.79183,0.83565,0.73906,0.7952,0.61474,0.7519,1.06429,1.00768,0.0007385,0.0007385,0.0007385
64,17.0876,0.24694,0.34407,0.79255,0.81767,0.75545,0.79146,0.61212,0.75362,1.09976,1.00784,0.00073025,0.00073025,0.00073025
65,17.3068,0.23139,0.32355,0.78799,0.80626,0.74554,0.78169,0.59249,0.75529,1.14087,1.00155,0.000722,0.000722,0.000722
66,17.5371,0.2395,0.3359,0.78865,0.7842,0.77284,0.78115,0.60979,0.74556,1.08974,0.99941,0.00071375,0.00071375,0.00071375
67,17.7598,0.23666,0.32252,0.78974,0.78196,0.77966,0.78609,0.61403,0.73792,1.07863,1.00038,0.0007055,0.0007055,0.0007055
68,17.9917,0.25196,0.32969,0.78686,0.8252,0.77245,0.79323,0.6095,0.7887,1.12949,0.99996,0.00069725,0.00069725,0.00069725
69,18.2157,0.27004,0.34031,0.79233,0.82808,0.75257,0.78495,0.59913,0.77596,1.15528,1.00097,0.000689,0.000689,0.000689
70,18.4488,0.24988,0.32715,0.78934,0.80636,0.75933,0.79338,0.6133,0.74661,1.08593,0.99801,0.00068075,0.00068075,0.00068075
71,18.6712,0.23864,0.32485,0.78535,0.7978,0.75933,0.79641,0.61778,0.75363,1.07561,1.00282,0.0006725,0.0006725,0.0006725
72,18.9033,0.2573,0.3209,0.78595,0.81477,0.75933,0.7942,0.61519,0.75039,1.07014,0.99878,0.00066425,0.00066425,0.00066425
73,19.126,0.23444,0.31008,0.78573,0.81365,0.75933,0.78974,0.61743,0.74533,1.06927,0.99854,0.000656,0.000656,0.000656
74,19.3583,0.24477,0.31901,0.78631,0.82085,0.75832,0.78339,0.60696,0.75161,1.07687,1.00913,0.00064775,0.00064775,0.00064775
75,19.585,0.2344,0.31165,0.78467,0.82513,0.75812,0.78203,0.60062,0.74206,1.08142,1.00432,0.0006395,0.0006395,0.0006395
76,19.8158,0.24303,0.32172,0.78521,0.80187,0.77284,0.78765,0.59997,0.76491,1.09669,1.00245,0.00063125,0.00063125,0.00063125
77,20.0393,0.25575,0.3214,0.78411,0.81998,0.75933,0.79252,0.60076,0.76058,1.08426,1.00061,0.000623,0.000623,0.000623
78,20.2716,0.23938,0.31413,0.7845,0.79347,0.78234,0.80107,0.62021,0.75269,1.07011,1.00073,0.00061475,0.00061475,0.00061475
79,20.4931,0.22903,0.31344,0.78148,0.80491,0.78067,0.80647,0.62463,0.75743,1.05007,1.00135,0.0006065,0.0006065,0.0006065
