epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31027,2.85307,4.24111,2.04292,0.00121,0.02381,0.00088,9e-05,2.6239,4.40395,2.09262,6.25e-05,6.25e-05,6.25e-05
2,2.58771,2.40706,4.00882,1.82451,0.01556,0.35328,0.09754,0.03957,2.12827,4.00094,1.64684,0.000136593,0.000136593,0.000136593
3,2.86405,1.68484,3.25212,1.40369,0.02287,0.53314,0.23044,0.10265,1.51751,3.7135,1.26638,0.000209695,0.000209695,0.000209695
4,3.24297,1.56355,2.58322,1.31158,0.02835,0.56853,0.28137,0.13255,1.5363,3.44326,1.26413,0.000281807,0.000281807,0.000281807
5,3.50866,1.56413,2.27721,1.2969,0.76802,0.20238,0.32866,0.15159,1.49276,3.13661,1.26605,0.00035293,0.00035293,0.00035293
6,3.76746,1.51205,2.07556,1.28303,0.77831,0.284,0.41075,0.22542,1.31907,2.81866,1.1798,0.000423062,0.000423062,0.000423062
7,4.02284,1.35999,1.87197,1.23584,0.57308,0.3889,0.47515,0.28672,1.26382,2.54805,1.1701,0.000492205,0.000492205,0.000492205
8,4.28613,1.31583,1.70796,1.1765,0.47306,0.57175,0.51764,0.33784,1.19809,2.19633,1.14572,0.000560357,0.000560357,0.000560357
9,4.54293,1.36498,1.71617,1.20697,0.4977,0.65715,0.44379,0.27671,1.17476,2.08314,1.14909,0.00062752,0.00062752,0.00062752
10,4.79081,1.31807,1.63458,1.17283,0.52977,0.59504,0.49756,0.30659,1.25292,2.0051,1.18587,0.000693692,0.000693692,0.000693692
11,5.03768,1.24296,1.58712,1.13203,0.52895,0.56187,0.61265,0.39332,1.23262,1.94206,1.16042,0.000758875,0.000758875,0.000758875
12,5.28484,1.16714,1.51668,1.12461,0.57353,0.60843,0.59555,0.34944,1.27016,2.04502,1.18492,0.000823068,0.000823068,0.000823068
13,5.53432,1.17672,1.5398,1.13634,0.61553,0.68147,0.64416,0.40195,1.22538,1.89349,1.17966,0.00088627,0.00088627,0.00088627
14,5.78063,1.26053,1.52064,1.14204,0.54289,0.62573,0.59321,0.34603,1.22198,1.9699,1.21577,0.000948483,0.000948483,0.000948483
15,6.01941,1.20179,1.50845,1.12434,0.49307,0.61323,0.53267,0.32297,1.19267,2.01762,1.20475,0.0010097,0.0010097,0.0010097
16,6.26808,1.19692,1.43986,1.12831,0.49268,0.61731,0.60856,0.41474,1.12774,1.89339,1.1518,0.00106994,0.00106994,0.00106994
17,6.51374,1.16769,1.40726,1.10563,0.51538,0.6346,0.65859,0.44556,1.10154,1.82569,1.13267,0.001118,0.001118,0.001118
18,6.76306,1.16211,1.42612,1.10401,0.58625,0.69691,0.6832,0.44877,1.1728,1.66004,1.14217,0.00110975,0.00110975,0.00110975
19,7.0065,1.24431,1.43718,1.09846,0.64052,0.66098,0.66775,0.43256,1.15721,1.55884,1.14099,0.0011015,0.0011015,0.0011015
20,7.26043,1.1815,1.44932,1.10107,0.62887,0.69656,0.66706,0.45755,1.09194,1.52695,1.09623,0.00109325,0.00109325,0.00109325
21,7.50681,1.13981,1.34681,1.06639,0.66325,0.70033,0.72087,0.46202,1.14662,1.54311,1.11414,0.001085,0.001085,0.001085
22,7.75946,1.1621,1.3636,1.09326,0.63649,0.68708,0.70546,0.48777,1.04798,1.47649,1.07655,0.00107675,0.00107675,0.00107675
23,8.00554,1.12816,1.32557,1.07234,0.6576,0.62495,0.67765,0.47536,1.06071,1.45172,1.06116,0.0010685,0.0010685,0.0010685
24,8.35023,1.08052,1.33804,1.06396,0.63647,0.61537,0.67625,0.47325,1.06934,1.4753,1.05926,0.00106025,0.00106025,0.00106025
25,8.58873,1.07151,1.33706,1.04168,0.64386,0.71818,0.67242,0.47698,1.03864,1.42977,1.04938,0.001052,0.001052,0.001052
26,8.83343,1.08517,1.28628,1.04488,0.61499,0.71556,0.68331,0.47418,1.01345,1.41358,1.03491,0.00104375,0.00104375,0.00104375
27,9.07266,1.05603,1.26947,1.05121,0.72017,0.69498,0.73527,0.51561,1.02348,1.38558,1.03558,0.0010355,0.0010355,0.0010355
28,9.32652,1.09691,1.25334,1.03968,0.68353,0.68308,0.7326,0.52135,1.05756,1.40066,1.04876,0.00102725,0.00102725,0.00102725
29,9.56743,1.07943,1.19476,1.04551,0.71178,0.67276,0.71329,0.46584,1.10202,1.46226,1.06473,0.001019,0.001019,0.001019
30,9.81624,1.06529,1.29649,1.04257,0.6952,0.68975,0.70997,0.49894,1.06633,1.44025,1.06284,0.00101075,0.00101075,0.00101075
