epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13.6908,0.92244,0.99034,0.97161,0.6779,0.8018,0.76678,0.57693,0.93087,1.34434,0.98344,0.00091175,0.00091175,0.00091175
43,13.9531,0.89605,0.94681,0.97268,0.68835,0.80642,0.79754,0.59774,0.89751,1.27938,0.97402,0.0009035,0.0009035,0.0009035
44,14.222,0.87045,0.92277,0.97321,0.7139,0.76458,0.80589,0.60884,0.91149,1.18312,0.99004,0.00089525,0.00089525,0.00089525
45,14.4819,0.83065,0.89775,0.96389,0.75206,0.75802,0.79988,0.58456,0.93609,1.17934,0.9956,0.000887,0.000887,0.000887
46,14.7499,0.88143,0.95977,0.95987,0.61054,0.7503,0.74598,0.54465,0.90196,1.24683,0.99188,0.00087875,0.00087875,0.00087875
47,15.0097,0.90463,0.91909,0.95197,0.5758,0.76538,0.73206,0.53727,0.91239,1.28456,0.99944,0.0008705,0.0008705,0.0008705
48,15.276,0.84814,0.85903,0.94999,0.77161,0.73459,0.7971,0.5994,0.86383,1.12122,0.97482,0.00086225,0.00086225,0.00086225
49,15.5364,0.86383,0.86244,0.94096,0.72397,0.78841,0.77784,0.5736,0.89326,1.13167,0.98734,0.000854,0.000854,0.000854
50,15.8059,0.85959,0.85951,0.95336,0.65229,0.76528,0.72593,0.55048,0.85781,1.18546,0.9797,0.00084575,0.00084575,0.00084575
51,16.0625,0.8527,0.82784,0.95395,0.69441,0.75114,0.74924,0.55186,0.89635,1.20614,0.99661,0.0008375,0.0008375,0.0008375
52,16.3317,0.88517,0.87099,0.96592,0.76782,0.70929,0.76558,0.55688,0.98148,1.20294,1.00619,0.00082925,0.00082925,0.00082925
53,16.5863,0.86101,0.84534,0.96027,0.79303,0.68308,0.76463,0.56875,0.90236,1.1605,1.01766,0.000821,0.000821,0.000821
54,16.8552,0.83573,0.89867,0.94634,0.79111,0.75859,0.79472,0.58187,0.84412,1.14143,1.00433,0.00081275,0.00081275,0.00081275
55,17.1131,0.84931,0.8708,0.9437,0.71354,0.75261,0.75717,0.57194,0.89569,1.18583,1.01247,0.0008045,0.0008045,0.0008045
56,17.4769,0.87224,0.82724,0.93352,0.5724,0.66988,0.62592,0.44928,0.89233,1.49768,1.02747,0.00079625,0.00079625,0.00079625
57,17.7387,0.79171,0.81892,0.9525,0.52289,0.70045,0.62276,0.45446,0.86815,1.56461,1.01774,0.000788,0.000788,0.000788
58,18.0061,0.81448,0.83624,0.94609,0.77249,0.71722,0.80126,0.59228,0.87082,1.16112,0.99674,0.00077975,0.00077975,0.00077975
59,18.2621,0.86322,0.86344,0.9599,0.76188,0.73382,0.79067,0.58665,0.87552,1.10923,1.00582,0.0007715,0.0007715,0.0007715
60,18.5294,0.84236,0.83062,0.9457,0.75852,0.74139,0.78413,0.58764,0.90406,1.11917,1.02646,0.00076325,0.00076325,0.00076325
61,18.7866,0.78228,0.7919,0.92635,0.82951,0.70848,0.79513,0.59928,0.97042,1.13918,0.99634,0.000755,0.000755,0.000755
62,19.0587,0.93073,0.81698,0.94645,0.74479,0.8269,0.80442,0.59376,0.90165,1.14787,0.9888,0.00074675,0.00074675,0.00074675
63,19.3155,0.78206,0.79662,0.93528,0.8167,0.75808,0.80025,0.61491,0.85443,1.09131,1.00268,0.0007385,0.0007385,0.0007385
64,19.5884,0.85492,0.79723,0.93517,0.70325,0.88388,0.79469,0.6104,0.88397,1.07512,1.02118,0.00073025,0.00073025,0.00073025
65,19.8465,0.82365,0.79859,0.9419,0.69066,0.85906,0.77639,0.57099,0.96534,1.13434,1.02265,0.000722,0.000722,0.000722
66,20.1223,0.86014,0.79581,0.93141,0.75067,0.79819,0.79791,0.57786,0.91593,1.16437,1.0227,0.00071375,0.00071375,0.00071375
67,20.38,0.85804,0.78587,0.93332,0.75346,0.81687,0.78777,0.583,0.86836,1.14611,1.01965,0.0007055,0.0007055,0.0007055
68,20.6458,0.78839,0.75737,0.94944,0.72246,0.80502,0.7517,0.56836,0.84774,1.12401,0.99726,0.00069725,0.00069725,0.00069725
69,20.9023,0.76005,0.7536,0.91626,0.71812,0.79151,0.76036,0.56112,0.84455,1.13439,0.99583,0.000689,0.000689,0.000689
70,21.1708,0.79998,0.76078,0.93031,0.734,0.80856,0.75198,0.54819,0.84453,1.17688,0.99985,0.00068075,0.00068075,0.00068075
71,21.4276,0.83525,0.76937,0.93534,0.71346,0.81088,0.73708,0.5506,0.9078,1.16753,1.0155,0.0006725,0.0006725,0.0006725
72,21.6926,0.82492,0.76795,0.92056,0.7593,0.81532,0.78772,0.59076,0.91537,1.09427,1.01021,0.00066425,0.00066425,0.00066425
73,22.0447,0.80596,0.76589,0.92091,0.74645,0.83398,0.80753,0.63353,0.84265,1.04725,1.00242,0.000656,0.000656,0.000656
74,22.3145,0.77521,0.7524,0.92504,0.78745,0.82977,0.8295,0.64392,0.81554,1.00969,0.99029,0.00064775,0.00064775,0.00064775
75,22.5776,0.78533,0.75208,0.92486,0.80507,0.79665,0.7996,0.64282,0.82469,1.02412,1.00154,0.0006395,0.0006395,0.0006395
76,22.8463,0.74575,0.71836,0.92003,0.82418,0.73552,0.77566,0.6046,0.88321,1.03762,1.0038,0.00063125,0.00063125,0.00063125
77,23.1025,0.77122,0.75681,0.92515,0.81954,0.73552,0.78633,0.60846,0.85005,1.02907,0.99727,0.000623,0.000623,0.000623
78,23.3762,0.80386,0.75889,0.91609,0.73365,0.8219,0.78736,0.61033,0.82052,1.03665,0.99645,0.00061475,0.00061475,0.00061475
79,23.6359,0.73101,0.69142,0.91006,0.75765,0.79151,0.78344,0.60421,0.8139,1.05044,0.99336,0.0006065,0.0006065,0.0006065
80,23.9082,0.71152,0.70943,0.90844,0.79726,0.79151,0.8063,0.62185,0.80512,1.01823,1.00325,0.00059825,0.00059825,0.00059825
81,24.1659,0.69254,0.67522,0.90019,0.82515,0.78711,0.81613,0.62933,0.806,1.00107,1.00773,0.00059,0.00059,0.00059
82,24.4336,0.70292,0.68153,0.89499,0.7437,0.89833,0.84936,0.64469,0.8261,0.9614,0.99451,0.00058175,0.00058175,0.00058175
83,24.6961,0.78188,0.70983,0.92659,0.83292,0.76119,0.82894,0.64382,0.84711,0.94441,0.98527,0.0005735,0.0005735,0.0005735
84,24.9632,0.72168,0.69605,0.90429,0.85093,0.7793,0.8473,0.6498,0.81965,0.92381,1.00978,0.00056525,0.00056525,0.00056525
85,25.2281,0.75154,0.70146,0.91327,0.80046,0.81338,0.81958,0.63944,0.83213,0.92607,1.01961,0.000557,0.000557,0.000557
86,25.4962,0.74976,0.68744,0.92734,0.78588,0.82218,0.82286,0.64506,0.81762,0.99162,1.00856,0.00054875,0.00054875,0.00054875
87,25.754,0.69824,0.67142,0.902,0.78421,0.79234,0.82368,0.63628,0.82272,0.99412,0.99595,0.0005405,0.0005405,0.0005405
88,26.0221,0.72909,0.68664,0.90427,0.78169,0.80452,0.82982,0.63235,0.85755,0.9785,1.01603,0.00053225,0.00053225,0.00053225
89,26.2826,0.73531,0.67259,0.92317,0.73128,0.85486,0.82977,0.61921,0.90894,0.98468,1.01897,0.000524,0.000524,0.000524
90,26.6552,0.7705,0.69434,0.9066,0.78971,0.83428,0.80651,0.62848,0.79749,0.98529,0.98493,0.00051575,0.00051575,0.00051575
91,26.9108,0.70522,0.63374,0.89551,0.79061,0.8519,0.81107,0.63958,0.78276,0.97289,0.9789,0.0005075,0.0005075,0.0005075
92,27.175,0.6742,0.6605,0.90344,0.80708,0.79437,0.80859,0.65239,0.78886,0.96663,0.98278,0.00049925,0.00049925,0.00049925
93,27.4341,0.69656,0.65256,0.89258,0.79337,0.79712,0.80411,0.6447,0.79756,0.99653,0.98208,0.000491,0.000491,0.000491
94,27.7088,0.71807,0.6625,0.89076,0.79718,0.75579,0.80744,0.63587,0.79975,0.99538,0.98113,0.00048275,0.00048275,0.00048275
95,27.966,0.70871,0.65075,0.91185,0.79468,0.7833,0.81339,0.63958,0.78434,0.98972,0.9763,0.0004745,0.0004745,0.0004745
96,28.2335,0.7425,0.70447,0.90733,0.79117,0.75923,0.80284,0.63008,0.79838,1.00408,0.98011,0.00046625,0.00046625,0.00046625
97,28.4902,0.74169,0.69533,0.90429,0.79756,0.74585,0.79291,0.62513,0.80114,0.99188,0.98255,0.000458,0.000458,0.000458
98,28.7576,0.73058,0.66768,0.90222,0.75835,0.85497,0.82036,0.60802,0.86975,1.00672,1.00235,0.00044975,0.00044975,0.00044975
99,29.0135,0.73076,0.67594,0.89625,0.7964,0.84034,0.84181,0.62781,0.82946,0.98508,0.99402,0.0004415,0.0004415,0.0004415
100,29.2797,0.68706,0.6461,0.8967,0.77501,0.8743,0.8468,0.63546,0.83185,0.9339,1.00737,0.00043325,0.00043325,0.00043325
101,29.5364,0.70246,0.634,0.89542,0.79297,0.84234,0.83145,0.64317,0.82639,0.92458,1.01409,0.000425,0.000425,0.000425
102,29.7996,0.69422,0.65145,0.91042,0.79417,0.83828,0.82962,0.63761,0.84607,0.9552,1.01316,0.00041675,0.00041675,0.00041675
103,30.0527,0.70198,0.646,0.90362,0.80273,0.85586,0.82906,0.63853,0.83301,0.96555,1.01233,0.0004085,0.0004085,0.0004085
104,30.3189,0.7097,0.6409,0.8937,0.84233,0.75801,0.80873,0.62895,0.80694,0.95397,0.99284,0.00040025,0.00040025,0.00040025
105,30.5774,0.73934,0.64829,0.89901,0.85342,0.77985,0.82077,0.6388,0.7929,0.95185,0.98719,0.000392,0.000392,0.000392
106,30.9335,0.70877,0.64141,0.89203,0.78789,0.81338,0.79313,0.61413,0.8644,0.98039,1.00608,0.00038375,0.00038375,0.00038375
