epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31448,2.79563,4.13104,1.87543,0.00044,0.0119,2e-05,1e-05,2.59421,4.4091,2.06741,6.25e-05,6.25e-05,6.25e-05
2,2.66236,2.1129,3.82465,1.568,0.01596,0.34299,0.09032,0.03944,1.73753,3.94587,1.44633,0.000136593,0.000136593,0.000136593
3,3.12826,1.39645,2.66264,1.20209,0.03624,0.61068,0.27241,0.15519,1.32661,3.41133,1.15551,0.000209695,0.000209695,0.000209695
4,3.46338,1.33674,2.00658,1.1425,0.05378,0.71718,0.50703,0.32074,1.12006,3.22608,1.0888,0.000281807,0.000281807,0.000281807
5,3.8039,1.29751,1.86558,1.11954,0.77723,0.26675,0.39602,0.26193,1.15318,3.05832,1.08736,0.00035293,0.00035293,0.00035293
6,4.13407,1.26711,1.68273,1.12765,0.82993,0.25412,0.54737,0.37097,1.08541,2.81614,1.05981,0.000423062,0.000423062,0.000423062
7,4.4624,1.1937,1.59163,1.10477,0.87304,0.30952,0.58159,0.38995,1.12828,2.61309,1.07419,0.000492205,0.000492205,0.000492205
8,4.79251,1.17097,1.45764,1.08003,0.89453,0.29762,0.66705,0.41584,1.17286,2.58309,1.10593,0.000560357,0.000560357,0.000560357
9,5.12316,1.19812,1.52248,1.09933,0.81009,0.30952,0.66274,0.42735,1.1152,2.3929,1.05978,0.00062752,0.00062752,0.00062752
10,5.44568,1.13474,1.388,1.06513,0.67783,0.39427,0.68853,0.45345,1.04513,2.39783,1.06323,0.000693692,0.000693692,0.000693692
11,5.76689,1.0828,1.36935,1.02801,0.77808,0.3882,0.72013,0.45925,1.15167,2.42547,1.0485,0.000758875,0.000758875,0.000758875
12,6.08961,1.03558,1.34198,1.04737,0.79486,0.39135,0.68532,0.43914,1.09527,2.43132,1.08462,0.000823068,0.000823068,0.000823068
13,6.40763,1.04286,1.38454,1.05249,0.59895,0.61583,0.61607,0.41814,1.07123,2.10134,1.097,0.00088627,0.00088627,0.00088627
14,6.72492,1.11275,1.33924,1.07376,0.64116,0.70893,0.68356,0.45004,1.13674,1.79518,1.12846,0.000948483,0.000948483,0.000948483
15,7.03639,1.03281,1.28338,1.04362,0.65216,0.66239,0.67181,0.46339,1.10194,1.75194,1.14406,0.0010097,0.0010097,0.0010097
16,7.36301,1.05765,1.27721,1.0441,0.5939,0.58494,0.65155,0.40118,1.25955,1.81272,1.17971,0.00106994,0.00106994,0.00106994
17,7.67596,1.05941,1.23462,1.02465,0.5307,0.63739,0.64781,0.38597,1.19999,1.77002,1.15899,0.001118,0.001118,0.001118
18,7.99415,1.03268,1.24942,1.02616,0.53233,0.68983,0.64249,0.44029,1.14214,1.63924,1.11095,0.00110975,0.00110975,0.00110975
19,8.3063,1.06006,1.23739,1.02344,0.58307,0.67117,0.6852,0.47815,1.07327,1.5846,1.09312,0.0011015,0.0011015,0.0011015
20,8.72255,1.04721,1.29958,1.03683,0.55846,0.7323,0.67079,0.44195,1.12228,1.62751,1.04992,0.00109325,0.00109325,0.00109325
21,9.03562,1.03048,1.20269,0.99928,0.62807,0.70689,0.69907,0.4665,1.09088,1.58764,1.04028,0.001085,0.001085,0.001085
22,9.35958,1.04018,1.20694,1.02431,0.66883,0.65927,0.70538,0.50884,0.9972,1.39831,1.04013,0.00107675,0.00107675,0.00107675
23,9.67218,0.99891,1.18464,1.01221,0.59434,0.62902,0.71283,0.51109,0.99478,1.41833,1.05342,0.0010685,0.0010685,0.0010685
24,9.9973,0.97838,1.21909,1.00796,0.73381,0.64607,0.75717,0.53641,0.9865,1.38836,1.05734,0.00106025,0.00106025,0.00106025
25,10.3109,0.9383,1.15601,0.98311,0.72074,0.70495,0.73219,0.54109,0.97172,1.34994,1.03973,0.001052,0.001052,0.001052
26,10.6336,0.96197,1.16284,0.99782,0.74048,0.66621,0.69138,0.51142,0.96986,1.35044,1.04387,0.00104375,0.00104375,0.00104375
27,10.9415,0.90828,1.09521,1.00426,0.64753,0.69981,0.68761,0.50367,0.97709,1.46522,1.08397,0.0010355,0.0010355,0.0010355
28,11.2624,1.00236,1.09982,0.99125,0.55055,0.73069,0.69117,0.45217,1.09909,1.71321,1.11698,0.00102725,0.00102725,0.00102725
29,11.5734,0.96473,1.07898,0.99467,0.53852,0.72737,0.6758,0.46812,1.02739,1.6935,1.10421,0.001019,0.001019,0.001019
30,11.8881,0.94583,1.08649,0.97668,0.72403,0.59514,0.65534,0.45857,1.07471,1.63117,1.12492,0.00101075,0.00101075,0.00101075
31,12.198,0.91694,1.08282,0.97197,0.71946,0.58682,0.6014,0.44076,1.01513,1.65364,1.10072,0.0010025,0.0010025,0.0010025
32,12.5146,0.87288,1.04524,0.96534,0.78494,0.61647,0.67415,0.51185,0.94422,1.41865,1.07704,0.00099425,0.00099425,0.00099425
33,12.8271,0.9165,1.00378,0.96638,0.78634,0.61647,0.70012,0.51422,0.95512,1.35256,1.06038,0.000986,0.000986,0.000986
34,13.1479,0.92487,1.04289,0.98208,0.66719,0.70978,0.7091,0.51273,0.9551,1.32083,1.04507,0.00097775,0.00097775,0.00097775
35,13.4662,0.8545,1.03694,0.96306,0.70748,0.6657,0.68425,0.49848,0.96264,1.3561,1.05001,0.0009695,0.0009695,0.0009695
36,13.7875,0.81996,1.01695,0.96711,0.73458,0.61133,0.63413,0.47555,0.93163,1.44712,1.03195,0.00096125,0.00096125,0.00096125
37,14.1953,0.8663,1.05982,0.96231,0.73263,0.63045,0.64993,0.48073,0.93502,1.3828,1.01585,0.000953,0.000953,0.000953
38,14.5213,0.92772,1.05438,0.98465,0.80872,0.66894,0.69328,0.50877,0.90821,1.28419,1.01568,0.00094475,0.00094475,0.00094475
39,14.8354,0.89193,0.97315,0.9573,0.7576,0.67246,0.68254,0.5108,0.86606,1.27582,1.00229,0.0009365,0.0009365,0.0009365
40,15.156,0.85063,0.96985,0.94973,0.73884,0.65715,0.69377,0.52625,0.89217,1.28328,1.00625,0.00092825,0.00092825,0.00092825
41,15.4675,0.81854,0.94363,0.9568,0.73853,0.70978,0.70161,0.52055,0.92473,1.31063,1.00374,0.00092,0.00092,0.00092
42,15.7872,0.85585,0.99016,0.95867,0.65611,0.6627,0.67141,0.51127,0.84831,1.31453,0.97122,0.00091175,0.00091175,0.00091175
43,16.0955,0.83873,0.93365,0.9495,0.6738,0.66924,0.67737,0.51253,0.88555,1.29694,0.98109,0.0009035,0.0009035,0.0009035
44,16.4154,0.85398,0.94341,0.97001,0.74307,0.60167,0.67925,0.50754,0.97765,1.43317,1.00568,0.00089525,0.00089525,0.00089525
45,16.7275,0.87372,0.93575,0.96622,0.75298,0.6406,0.69493,0.50782,1.0171,1.45374,1.01726,0.000887,0.000887,0.000887
46,17.0487,0.86877,0.94995,0.94412,0.76115,0.71722,0.71514,0.5006,1.06372,1.33444,1.03328,0.00087875,0.00087875,0.00087875
47,17.36,0.90623,0.91063,0.94581,0.69344,0.75101,0.71112,0.51793,1.00297,1.29224,1.03298,0.0008705,0.0008705,0.0008705
48,17.6789,0.87007,0.85016,0.9486,0.70727,0.73155,0.72913,0.5461,0.91201,1.21197,1.01904,0.00086225,0.00086225,0.00086225
49,17.9932,0.88288,0.87012,0.93994,0.66711,0.68951,0.69858,0.52633,0.91321,1.22671,1.02031,0.000854,0.000854,0.000854
50,18.3149,0.87093,0.89598,0.94804,0.60282,0.63063,0.62538,0.43778,0.93096,1.42731,1.00762,0.00084575,0.00084575,0.00084575
51,18.6236,0.84286,0.84966,0.94092,0.58194,0.72107,0.6429,0.48738,0.85764,1.37368,0.98458,0.0008375,0.0008375,0.0008375
52,18.9442,0.85226,0.86439,0.94697,0.67338,0.71847,0.724,0.56058,0.87485,1.23111,0.99059,0.00082925,0.00082925,0.00082925
53,19.3536,0.81842,0.83771,0.94396,0.7049,0.7112,0.72563,0.56025,0.8396,1.21876,0.98353,0.000821,0.000821,0.000821
54,19.6729,0.81631,0.90219,0.9413,0.7601,0.71237,0.76912,0.57642,0.87746,1.21227,0.98026,0.00081275,0.00081275,0.00081275
55,19.987,0.81664,0.88874,0.93825,0.71829,0.71289,0.75869,0.56634,0.86745,1.22016,0.99502,0.0008045,0.0008045,0.0008045
56,20.3086,0.80985,0.8319,0.91714,0.69609,0.72575,0.75183,0.56178,0.86637,1.21233,0.99462,0.00079625,0.00079625,0.00079625
